1.1 By category headings and age groups

1.1.1 Total

| Category | Number of Cases |
|----------|----------------|
| 1-10     | 508            |
| 1-20     | 10,064         |
| 1-30     | 20,158         |
| 1-40     | 3,521,115      |
| 1-50     | 94,616         |
| 1-60     | 3,147,578      |
| 1-70     | 1,050,713      |
| 1-80     | 259,596        |
| 1-90     | 572,424        |
| 2        | 13,867,968     |
| 3        | 1,537,544      |
| 3-20     | 387,066        |
| 3-30     | 6,796,197      |
| 3-40     | 43,802         |
| 3-60     | 650,501        |
| 3-70     | 283,353        |
| 3-80     | 1,919,238      |
| 3-90     | 32,865         |
| 3-99     | 2,719,404      |
| 5        | 15,838,178     |
| 5-01     | 789,375        |
| 5-06     | 133,208        |
| 5-08     | 604,335        |
| 5-18     | 118,968        |
| 5-21     | 347            |
| 5-23     | 207,929        |
| 5-29     | 106            |
| 5-32     | 169,308        |
| 5-35     | 385,058        |
| 5-40     | 675,861        |
| 5-42     | 192,470        |
| 5-55     | 2,666,765      |
| 5-60     | 561,736        |
| 5-65     | 212,557        |
| 5-70     | 572,967        |
| 5-72     | 961,066        |
| 5-76     | 76,370         |
| 5-78     | 4,357,197      |
| 5-87     | 157,485        |
| 5-89     | 1,733,516      |
| 5-93     | 1,538,544      |
| 6        | 4,080,843      |
| 8        | 14,640,664     |
| 8-01     | 37,671         |
| 8-03     | 6,263          |
| 8-12     | 375,760        |
| 8-14     | 473,133        |
| 8-19     | 293,279        |
| 8-20     | 48,064         |
| 8-31     | 14,981         |
| 8-40     | 435,719        |
| 8-55     | 739,908        |
| 8-63     | 306,522        |
| 8-77     | 774,636        |
| 8-80     | 39,371         |
| 8-86     | 2,818          |
| 8-90     | 1,083,491      |
| 8-92     | 236,192        |
| 8-97     | 1,545,361      |
| 8-99     | 8,715          |
| 9        | 5,959,885      |
| 9-26     | 1,256,327      |
| 9-31     | 1,168          |
| 9-40     | 561,384        |
| 9-50     | 206,158        |
| 9-60     | 3,069,522      |

Note: The numbers represent the total number of cases in each category.
